4.4284 	EXP 	Created window1 = Window(allowGUI=False, allowStencil=False, args=UNKNOWN, autoLog=True, bitsMode=UNKNOWN, blendMode='avg', color=array([0., 0., 0.]), colorSpace='rgb', fullscr=<method-wrapper '__getattribute__' of attributeSetter object at 0x14F694B0>, gamma=None, kwargs=UNKNOWN, lms=UNKNOWN, monitor=<psychopy.monitors.calibTools.Monitor object at 0x16621630>, multiSample=False, name='window1', numSamples=2, pos=[0.0, 0.0], screen=0, size=array([1920, 1080]), stereo=False, units='height', useFBO=True, useRetina=False, viewOri=0.0, viewPos=None, viewScale=None, waitBlanking=True, winType='pyglet')
4.4285 	EXP 	window1: recordFrameIntervals = False
4.5952 	EXP 	window1: recordFrameIntervals = True
4.7787 	EXP 	window1: recordFrameIntervals = False
4.8886 	EXP 	Created instrText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.05, italic=False, languageStyle='LTR', name='instrText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text=str(...), units='height', win=Window(...), wrapWidth=1.5)
4.9059 	EXP 	Created blank = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.2, italic=False, languageStyle='LTR', name='blank', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='+', units='height', win=Window(...), wrapWidth=1)
4.9092 	EXP 	Created blk1 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=0.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk1', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.9102 	EXP 	Created blk2 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-1.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk2', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.9112 	EXP 	Created blk3 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-2.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk3', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.9121 	EXP 	Created blk4 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-3.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk4', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.9131 	EXP 	Created blk5 = Rect(__class__=<class 'psychopy.visual.rect.Rect'>, autoDraw=False, autoLog=True, closeShape=True, color=method-wrapper(...), colorSpace=None, contrast=1.0, depth=-4.0, fillColor=array([1., 1., 1.]), fillColorSpace='rgb', fillRGB=array([1., 1., 1.]), interpolate=True, lineColor=array([1., 1., 1.]), lineColorSpace='rgb', lineRGB=array([1., 1., 1.]), lineWidth=1, name='blk5', opacity=1.0, ori=array(0.), pos=array([0., 0.]), size=array([1., 1.]), units='height', vertices=ndarray(...), win=Window(...))
4.9442 	EXP 	Created thanksText = TextStim(__class__=<class 'psychopy.visual.text.TextStim'>, alignHoriz='center', alignVert='center', antialias=True, autoLog=True, bold=False, color='white', colorSpace='named', contrast=1.0, depth=0.0, flipHoriz=False, flipVert=False, font='Arial', fontFiles=[], height=0.07, italic=False, languageStyle='LTR', name='thanksText', opacity=1.0, ori=0, pos=array([0., 0.]), rgb=array([255., 255., 255.]), text='Great! Thanks for your help!\n\nAll done!', units='height', win=Window(...), wrapWidth=1)
4.9506 	EXP 	instrText: autoDraw = True
5.4962 	DATA 	Mouse: Left button down, pos=(763,592)
5.6464 	DATA 	Mouse:  Left button up, pos=(763,592)
6.4638 	DATA 	Keypress: return
6.4851 	EXP 	Imported conditions.xlsx as conditions, 1 conditions, 2 params
6.4855 	EXP 	Created sequence: random, trialTypes=1, nReps=5, seed=None
6.4857 	EXP 	New trial (rep=0, index=0): OrderedDict([('sequence', ['blk1', 'blk2', 'blk3', 'blk4', 'blk5']), ('blockDuration', 0.5)])
6.4904 	EXP 	instrText: autoDraw = False
6.4904 	EXP 	blank: autoDraw = True
6.9973 	EXP 	blank: autoDraw = False
6.9973 	EXP 	blk1: pos = array([-0.27178691, -0.08992704])
6.9973 	EXP 	blk1: fillColor = 'white'
6.9973 	EXP 	blk1: lineColor = 'white'
6.9973 	EXP 	blk1: color = 'white'
6.9973 	EXP 	blk2: pos = array([ 0.04964077, -0.02939003])
6.9973 	EXP 	blk2: fillColor = 'white'
6.9973 	EXP 	blk2: lineColor = 'white'
6.9973 	EXP 	blk2: color = 'white'
6.9973 	EXP 	blk3: pos = array([ 0.31584653, -0.11931422])
6.9973 	EXP 	blk3: fillColor = 'white'
6.9973 	EXP 	blk3: lineColor = 'white'
6.9973 	EXP 	blk3: color = 'white'
6.9973 	EXP 	blk4: pos = array([ 0.23556618, -0.01212749])
6.9973 	EXP 	blk4: fillColor = 'white'
6.9973 	EXP 	blk4: lineColor = 'white'
6.9973 	EXP 	blk4: color = 'white'
6.9973 	EXP 	blk5: pos = array([-0.31592985, -0.39089045])
6.9973 	EXP 	blk5: fillColor = 'white'
6.9973 	EXP 	blk5: lineColor = 'white'
6.9973 	EXP 	blk5: color = 'white'
6.9973 	EXP 	blk1: autoDraw = True
6.9973 	EXP 	blk2: autoDraw = True
6.9973 	EXP 	blk3: autoDraw = True
6.9973 	EXP 	blk4: autoDraw = True
6.9973 	EXP 	blk5: autoDraw = True
7.4977 	EXP 	blk1: fillColor = 'red'
7.4977 	EXP 	blk1: lineColor = 'red'
7.4977 	EXP 	blk1: color = 'red'
7.9982 	EXP 	blk1: fillColor = 'white'
7.9982 	EXP 	blk1: lineColor = 'white'
7.9982 	EXP 	blk1: color = 'white'
7.9982 	EXP 	blk2: fillColor = 'red'
7.9982 	EXP 	blk2: lineColor = 'red'
7.9982 	EXP 	blk2: color = 'red'
8.4986 	EXP 	blk2: fillColor = 'white'
8.4986 	EXP 	blk2: lineColor = 'white'
8.4986 	EXP 	blk2: color = 'white'
8.4986 	EXP 	blk3: fillColor = 'red'
8.4986 	EXP 	blk3: lineColor = 'red'
8.4986 	EXP 	blk3: color = 'red'
8.9993 	EXP 	blk3: fillColor = 'white'
8.9993 	EXP 	blk3: lineColor = 'white'
8.9993 	EXP 	blk3: color = 'white'
8.9993 	EXP 	blk4: fillColor = 'red'
8.9993 	EXP 	blk4: lineColor = 'red'
8.9993 	EXP 	blk4: color = 'red'
9.4996 	EXP 	blk4: fillColor = 'white'
9.4996 	EXP 	blk4: lineColor = 'white'
9.4996 	EXP 	blk4: color = 'white'
9.4996 	EXP 	blk5: fillColor = 'red'
9.4996 	EXP 	blk5: lineColor = 'red'
9.4996 	EXP 	blk5: color = 'red'
10.0002 	EXP 	blk5: fillColor = 'white'
10.0002 	EXP 	blk5: lineColor = 'white'
10.0002 	EXP 	blk5: color = 'white'
10.0168 	EXP 	blk1: fillColor = 'darkgrey'
10.0168 	EXP 	blk1: lineColor = 'darkgrey'
10.0168 	EXP 	blk1: color = 'darkgrey'
10.0335 	EXP 	blk1: fillColor = 'darkgrey'
10.0335 	EXP 	blk1: lineColor = 'darkgrey'
10.0335 	EXP 	blk1: color = 'darkgrey'
10.0335 	EXP 	blk1: fillColor = 'darkgrey'
10.0335 	EXP 	blk1: lineColor = 'darkgrey'
10.0335 	EXP 	blk1: color = 'darkgrey'
10.0503 	EXP 	blk1: fillColor = 'darkgrey'
10.0503 	EXP 	blk1: lineColor = 'darkgrey'
10.0503 	EXP 	blk1: color = 'darkgrey'
10.0503 	EXP 	blk1: fillColor = 'darkgrey'
10.0503 	EXP 	blk1: lineColor = 'darkgrey'
10.0503 	EXP 	blk1: color = 'darkgrey'
10.0503 	EXP 	blk1: fillColor = 'darkgrey'
10.0503 	EXP 	blk1: lineColor = 'darkgrey'
10.0503 	EXP 	blk1: color = 'darkgrey'
10.0669 	EXP 	blk1: fillColor = 'darkgrey'
10.0669 	EXP 	blk1: lineColor = 'darkgrey'
10.0669 	EXP 	blk1: color = 'darkgrey'
10.0669 	EXP 	blk1: fillColor = 'darkgrey'
10.0669 	EXP 	blk1: lineColor = 'darkgrey'
10.0669 	EXP 	blk1: color = 'darkgrey'
10.0669 	EXP 	blk1: fillColor = 'darkgrey'
10.0669 	EXP 	blk1: lineColor = 'darkgrey'
10.0669 	EXP 	blk1: color = 'darkgrey'
10.0669 	EXP 	blk1: fillColor = 'darkgrey'
10.0669 	EXP 	blk1: lineColor = 'darkgrey'
10.0669 	EXP 	blk1: color = 'darkgrey'
10.0682 	EXP 	New trial (rep=1, index=0): OrderedDict([('sequence', ['blk1', 'blk2', 'blk3', 'blk4', 'blk5']), ('blockDuration', 0.5)])
10.0835 	EXP 	blk1: fillColor = 'darkgrey'
10.0835 	EXP 	blk1: lineColor = 'darkgrey'
10.0835 	EXP 	blk1: color = 'darkgrey'
10.0835 	EXP 	blk1: fillColor = 'darkgrey'
10.0835 	EXP 	blk1: lineColor = 'darkgrey'
10.0835 	EXP 	blk1: color = 'darkgrey'
10.0835 	EXP 	blk1: fillColor = 'darkgrey'
10.0835 	EXP 	blk1: lineColor = 'darkgrey'
10.0835 	EXP 	blk1: color = 'darkgrey'
10.0835 	EXP 	blk1: fillColor = 'darkgrey'
10.0835 	EXP 	blk1: lineColor = 'darkgrey'
10.0835 	EXP 	blk1: color = 'darkgrey'
10.0835 	EXP 	blk1: fillColor = 'darkgrey'
10.0835 	EXP 	blk1: lineColor = 'darkgrey'
10.0835 	EXP 	blk1: color = 'darkgrey'
